,Date,Price,Open,High,Low,Volume,Change(%)
138,18 Mar 2024,4152.50,4215.25,4254.75,4117.85,1526904,-1.58%
139,15 Mar 2024,4219.25,4192.60,4239.00,4177.00,3373143,0.28%
140,14 Mar 2024,4207.60,4153.45,4225.00,4086.00,2919608,1.41%
141,13 Mar 2024,4149.00,4205.00,4241.00,4131.90,2837260,-1.03%
142,12 Mar 2024,4192.25,4122.35,4229.95,4121.05,4039801,1.70%
143,11 Mar 2024,4122.35,4089.00,4153.00,4089.00,2304068,0.33%
144,07 Mar 2024,4108.60,4065.00,4124.00,4037.70,2688905,1.09%
145,06 Mar 2024,4064.30,3994.05,4072.00,3958.45,1744204,1.30%
146,05 Mar 2024,4012.10,4062.00,4064.00,3980.00,2070859,-1.68%
147,04 Mar 2024,4080.70,4105.00,4117.90,4075.90,1749271,-0.64%
148,02 Mar 2024,4107.10,4112.70,4129.50,4090.15,65057,0.31%
149,01 Mar 2024,4094.35,4107.20,4140.00,4086.80,2043265,-0.02%
150,29 Feb 2024,4095.10,4099.00,4138.10,4064.55,3772719,-0.58%
151,28 Feb 2024,4118.95,4095.60,4154.90,4089.00,1939225,0.35%
152,27 Feb 2024,4104.40,3999.00,4124.00,3999.00,2960475,2.58%
153,26 Feb 2024,4001.05,4036.00,4050.00,3982.75,1379284,-1.26%
154,23 Feb 2024,4052.10,4130.00,4130.00,4046.40,2538072,-0.86%
155,22 Feb 2024,4087.10,3971.00,4094.95,3971.00,2982052,2.40%
156,21 Feb 2024,3991.50,4013.00,4063.35,3980.60,1885939,-0.97%
157,20 Feb 2024,4030.65,4082.10,4098.00,4010.00,1193648,-1.78%
158,19 Feb 2024,4103.80,4123.05,4128.30,4055.00,772291,-0.59%
159,16 Feb 2024,4128.30,4113.25,4147.95,4100.10,1307556,0.61%
160,15 Feb 2024,4103.20,4128.00,4146.30,4083.00,1091582,0.08%
161,14 Feb 2024,4100.10,4107.00,4114.90,4049.50,1391283,-1.19%
162,13 Feb 2024,4149.50,4125.45,4170.00,4081.50,1257415,0.70%
163,12 Feb 2024,4120.70,4130.00,4159.60,4105.55,1013716,-0.31%
164,09 Feb 2024,4133.70,4136.55,4184.75,4100.00,2100596,-0.01%
165,08 Feb 2024,4134.10,4090.00,4158.00,4086.05,2345173,1.24%
166,07 Feb 2024,4083.40,4153.00,4155.00,4073.95,2124267,-1.27%
167,06 Feb 2024,4136.00,3997.00,4149.90,3990.00,4474396,4.09%
168,05 Feb 2024,3973.30,3983.00,4022.00,3962.10,1691523,0.18%
169,02 Feb 2024,3966.30,3875.05,3984.40,3872.00,2826510,2.91%
170,01 Feb 2024,3854.15,3820.00,3904.90,3805.05,2363107,1.00%
171,31 Jan 2024,3815.95,3811.20,3834.00,3796.45,2459358,0.41%
172,30 Jan 2024,3800.55,3807.45,3847.80,3787.00,1411621,-0.01%
173,29 Jan 2024,3801.00,3800.80,3820.00,3780.85,1646747,-0.24%
174,25 Jan 2024,3810.30,3839.90,3861.00,3778.70,2205154,-0.82%
175,24 Jan 2024,3841.80,3880.00,3883.65,3805.60,2657709,-0.43%
176,23 Jan 2024,3858.25,3900.00,3933.90,3842.75,2618854,-0.06%
177,20 Jan 2024,3860.65,3948.00,3955.65,3855.55,516477,-2.09%
178,19 Jan 2024,3943.05,3945.00,3963.55,3915.05,2941975,1.04%
179,18 Jan 2024,3902.60,3898.00,3908.80,3862.00,2239110,0.46%
180,17 Jan 2024,3884.60,3819.00,3909.95,3812.55,3458696,0.60%
181,16 Jan 2024,3861.30,3899.00,3899.00,3855.55,1432672,-1.09%
182,15 Jan 2024,3903.80,3960.00,3965.00,3885.00,2801505,0.54%
183,12 Jan 2024,3882.80,3848.00,3905.25,3821.60,6813450,3.94%
184,11 Jan 2024,3735.55,3724.00,3773.00,3707.00,1777909,0.61%
185,10 Jan 2024,3713.05,3690.00,3729.25,3688.00,1292227,0.63%
186,09 Jan 2024,3689.90,3709.95,3752.35,3682.75,1370944,0.32%
187,08 Jan 2024,3678.30,3737.90,3739.75,3672.40,1067805,-1.59%
188,05 Jan 2024,3737.90,3675.00,3747.75,3674.85,1963127,1.94%
189,04 Jan 2024,3666.80,3701.75,3719.00,3651.00,3598144,-0.68%
190,03 Jan 2024,3691.75,3767.00,3771.85,3687.05,1803075,-2.42%
191,02 Jan 2024,3783.20,3811.10,3811.10,3767.25,1344068,-0.73%
192,01 Jan 2024,3811.10,3790.00,3832.00,3773.00,825907,0.47%
193,29 Dec 2023,3793.40,3792.00,3822.60,3765.40,1574996,-0.17%
194,28 Dec 2023,3799.90,3824.00,3838.00,3792.10,1682889,-0.30%
195,27 Dec 2023,3811.20,3799.00,3818.20,3768.00,1293976,0.41%
196,26 Dec 2023,3795.55,3819.85,3834.00,3790.15,1285231,-0.74%
197,22 Dec 2023,3824.00,3800.00,3845.95,3762.00,2413058,0.96%
198,21 Dec 2023,3787.50,3756.25,3806.70,3743.35,1517562,0.20%
199,20 Dec 2023,3780.05,3827.25,3898.80,3766.55,2586083,-0.95%
200,19 Dec 2023,3816.20,3845.00,3855.10,3790.00,2004435,-1.11%
201,18 Dec 2023,3859.20,3858.10,3929.00,3830.15,2521612,-0.05%
202,15 Dec 2023,3861.00,3666.70,3895.95,3666.70,8531230,5.28%
203,14 Dec 2023,3667.25,3630.00,3678.00,3627.60,3290396,2.05%
204,13 Dec 2023,3593.55,3643.55,3650.00,3563.00,3850968,-2.14%
205,12 Dec 2023,3672.10,3638.95,3698.40,3631.00,2236866,0.80%
206,11 Dec 2023,3642.90,3622.90,3653.00,3615.00,1102503,0.45%
207,08 Dec 2023,3626.70,3633.00,3645.00,3602.05,1641155,0.33%
208,07 Dec 2023,3614.90,3605.00,3630.55,3591.70,1967653,0.30%
209,06 Dec 2023,3604.10,3532.60,3612.85,3525.15,1896572,2.05%
210,05 Dec 2023,3531.60,3538.00,3538.00,3502.80,1377656,0.55%
211,04 Dec 2023,3512.45,3544.65,3547.80,3498.00,1625213,0.02%
212,01 Dec 2023,3511.65,3500.00,3516.95,3490.05,1172141,0.69%
213,30 Nov 2023,3487.60,3499.45,3516.65,3481.00,3266235,-0.74%
214,29 Nov 2023,3513.75,3481.00,3518.00,3475.80,1441634,1.26%
215,28 Nov 2023,3470.15,3457.10,3481.25,3433.00,1689195,0.38%
216,24 Nov 2023,3457.10,3494.25,3504.55,3453.00,1989733,-1.46%
217,23 Nov 2023,3508.25,3530.00,3544.00,3500.00,2729804,-0.62%
218,22 Nov 2023,3530.15,3500.00,3532.65,3481.10,1798051,0.57%
219,21 Nov 2023,3510.20,3519.60,3539.05,3501.00,1807236,-0.27%
220,20 Nov 2023,3519.60,3491.25,3533.90,3491.25,1475621,0.49%
